AnchorRepo,AnchorUrl,CandidateRepo,CandidateUrl,CandidateOwner,CandidateLanguage,CandidateStars,CandidateSubdomain,Score,ScoreBase,PenaltyCrossAnchorFreq,PenaltyRetrieval,PenaltyNotes,Qualified,TopicJaccard,LexicalJaccard,LanguageMatch,StarSimilarity,RecencySimilarity,SubdomainMatch,QueryCoverage,TopSignals,ScoreBreakdownJson,WhyQualified,SourceQueries,Description,Rank,_anchor_folder,_anchor
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Lightning-AI,Python,31152,deep-learning,935.26,972.91,37.66,50,QueryCoverage excluded from Score (recommended).,True,0.2222,0,1,0.9881,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":200.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":172.91,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":37.66,""ScoreBase"":972.91,""ScoreFinal"":935.26}",Score>=MinimumScore,topic:deep-learning stars:>=100,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.",1,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,keras-team/keras,https://github.com/keras-team/keras,keras-team,Python,64073,deep-learning,898.07,934.98,36.91,50,QueryCoverage excluded from Score (recommended).,True,0.2105,0,1,0.8315,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":189.47,""Lexical"":0.0,""Lang"":250.0,""Stars"":145.51,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":36.91,""ScoreBase"":934.98,""ScoreFinal"":898.07}",Score>=MinimumScore,topic:deep-learning stars:>=100,Deep Learning for humans,2,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,roboflow/supervision,https://github.com/roboflow/supervision,roboflow,Python,39249,deep-learning,881.65,919.31,37.66,50,QueryCoverage excluded from Score (recommended).,True,0.1724,0,1,0.9379,1,1,0.3333,Lang+Subdomain+Stars,"{""Topic"":155.17,""Lexical"":0.0,""Lang"":250.0,""Stars"":164.13,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":37.66,""ScoreBase"":919.31,""ScoreFinal"":881.65}",Score>=MinimumScore,topic:deep-learning stars:>=100,We write your reusable computer vision tools. 💜,3,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,eriklindernoren/ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,eriklindernoren,Python,31508,deep-learning,878.46,914.59,36.12,100,QueryCoverage excluded from Score (recommended).,True,0.1579,0,1,0.9856,1,1,0.6667,Lang+Subdomain+Stars,"{""Topic"":142.11,""Lexical"":0.0,""Lang"":250.0,""Stars"":172.48,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":36.12,""ScoreBase"":914.59,""ScoreFinal"":878.46}",Score>=MinimumScore,topic:data-mining language:Python stars:>=50 | topic:deep-learning stars:>=100,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,4,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,Hironsan/BossSensor,https://github.com/Hironsan/BossSensor,Hironsan,Python,6280,deep-learning,866.02,875.06,9.03,50,QueryCoverage excluded from Score (recommended).,True,0.1765,0,1,0.6642,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":116.23,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":9.03,""ScoreBase"":875.06,""ScoreFinal"":866.02}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,Hide screen when boss is approaching.,5,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,piskvorky/gensim,https://github.com/piskvorky/gensim,piskvorky,Python,16414,deep-learning,862.57,891.2,28.63,50,QueryCoverage excluded from Score (recommended).,True,0.1538,0,1,0.8728,1,1,0.3333,Lang+Subdomain+Stars,"{""Topic"":138.46,""Lexical"":0.0,""Lang"":250.0,""Stars"":152.74,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":28.63,""ScoreBase"":891.2,""ScoreFinal"":862.57}",Score>=MinimumScore,topic:data-mining language:Python stars:>=50,Topic Modelling for Humans,6,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,CorentinJ,Python,59760,deep-learning,861.25,898.16,36.91,50,QueryCoverage excluded from Score (recommended).,True,0.1667,0,1,0.8466,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":148.16,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":36.91,""ScoreBase"":898.16,""ScoreFinal"":861.25}",Score>=MinimumScore,topic:deep-learning stars:>=100,Clone a voice in 5 seconds to generate arbitrary speech in real-time,7,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,streamlit/streamlit,https://github.com/streamlit/streamlit,streamlit,Python,44656,deep-learning,857.32,894.23,36.91,50,QueryCoverage excluded from Score (recommended).,True,0.15,0,1,0.9099,1,1,0.3333,Lang+Subdomain+Stars,"{""Topic"":135.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":159.23,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":36.91,""ScoreBase"":894.23,""ScoreFinal"":857.32}",Score>=MinimumScore,topic:deep-learning stars:>=100,Streamlit — A faster way to build and share data apps.,8,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,abdulfatir/twitter-sentiment-analysis,https://github.com/abdulfatir/twitter-sentiment-analysis,abdulfatir,Python,1643,deep-learning,854.77,854.77,0,50,QueryCoverage excluded from Score (recommended).,True,0.2105,0,1,0.3731,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":189.47,""Lexical"":0.0,""Lang"":250.0,""Stars"":65.3,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":854.77,""ScoreFinal"":854.77}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,"Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc.",9,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh,d2l-ai,Python,77924,deep-learning,835.42,873.07,37.66,50,QueryCoverage excluded from Score (recommended).,True,0.15,0,1,0.789,1,1,0.3333,Lang+Subdomain+Stars,"{""Topic"":135.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":138.07,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":37.66,""ScoreBase"":873.07,""ScoreFinal"":835.42}",Score>=MinimumScore,topic:deep-learning stars:>=100,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,10,JaidedAI-EasyOCR,JaidedAI/EasyOCR
