AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Good,1,2,5,30,10,220,31.13,abdulfatir/twitter-sentiment-analysis,Lightning-AI/pytorch-lightning,Hironsan/BossSensor,GabrielDornelles/pytorch-ocr,frgfm/torch-cam,abdulfatir/twitter-sentiment-analysis | Lightning-AI/pytorch-lightning | Hironsan/BossSensor | GabrielDornelles/pytorch-ocr | frgfm/torch-cam
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,Good,1,3,10,30,9,157,49.71,hpcaitech/ColossalAI,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,qualcomm/aimet,Lightning-AI/pytorch-lightning,hpcaitech/ColossalAI | InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | qualcomm/aimet | Lightning-AI/pytorch-lightning
onnx/onnx,onnx-onnx,Good,1,3,9,30,10,188,84.19,Lightning-AI/pytorch-lightning,google-deepmind/sonnet,kornia/kornia,flwrlabs/flower,stanfordnlp/stanza,Lightning-AI/pytorch-lightning | google-deepmind/sonnet | kornia/kornia | flwrlabs/flower | stanfordnlp/stanza
serengil/deepface,serengil-deepface,Good,1,3,11,30,10,161,43.17,deepinsight/insightface,Zeyi-Lin/HivisionIDPhotos,Lightning-AI/pytorch-lightning,RangiLyu/nanodet,Lasagne/Lasagne,deepinsight/insightface | Zeyi-Lin/HivisionIDPhotos | Lightning-AI/pytorch-lightning | RangiLyu/nanodet | Lasagne/Lasagne
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Good,0,0,0,13,10,229,18.06,ValueCell-ai/valuecell,brokermr810/QuantDinger,quantsbin/Quantsbin,agno-agi/agno,Michalos88/Quant-Projects,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | agno-agi/agno | Michalos88/Quant-Projects
apache/airflow,apache-airflow,Good,0,0,0,15,10,185,39.65,dagster-io/dagster,feast-dev/feast,Avaiga/taipy,abhishek-ch/around-dataengineering,kedro-org/kedro,dagster-io/dagster | feast-dev/feast | Avaiga/taipy | abhishek-ch/around-dataengineering | kedro-org/kedro
bbfamily/abu,bbfamily-abu,Good,0,0,1,16,10,177,6.02,zvtvz/zvt,shashankvemuri/Finance,ranaroussi/quantstats,asavinov/intelligent-trading-bot,coding-kitties/investing-algorithm-framework,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | asavinov/intelligent-trading-bot | coding-kitties/investing-algorithm-framework
huggingface/datasets,huggingface-datasets,Good,0,0,1,30,10,211,60.07,Lightning-AI/litgpt,rohitg00/ai-engineering-from-scratch,jacobgil/pytorch-grad-cam,ludwig-ai/ludwig,mlfoundations/open_clip,Lightning-AI/litgpt | rohitg00/ai-engineering-from-scratch | jacobgil/pytorch-grad-cam | ludwig-ai/ludwig | mlfoundations/open_clip
huggingface/transformers,huggingface-transformers,Good,0,0,1,30,9,227,36.9,GradientHQ/parallax,sgl-project/sglang,jessevig/bertviz,hiyouga/EasyR1,vllm-project/vllm,GradientHQ/parallax | sgl-project/sglang | jessevig/bertviz | hiyouga/EasyR1 | vllm-project/vllm
jina-ai/serve,jina-ai-serve,Good,0,0,0,29,10,192,46.69,bentoml/BentoML,Netflix/metaflow,rohitg00/ai-engineering-from-scratch,PrefectHQ/fastmcp,agentscope-ai/agentscope,bentoml/BentoML | Netflix/metaflow | rohitg00/ai-engineering-from-scratch | PrefectHQ/fastmcp | agentscope-ai/agentscope
pytorch/pytorch,pytorch-pytorch,Good,0,0,7,30,10,193,0.0,chainer/chainer,norse/norse,leptonai/leptonai,pranftw/neograd,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | leptonai/leptonai | pranftw/neograd | oreilly-japan/deep-learning-from-scratch-3
ray-project/ray,ray-project-ray,Good,0,0,0,30,10,233,59.82,google/langextract,NVIDIA/TensorRT-LLM,huggingface/datasets,torchpipe/torchpipe,ludwig-ai/ludwig,google/langextract | NVIDIA/TensorRT-LLM | huggingface/datasets | torchpipe/torchpipe | ludwig-ai/ludwig
sebastianruder/NLP-progress,sebastianruder-NLP-progress,Good,0,0,0,20,9,226,0.0,nltk/nltk,jasonwu0731/trade-dst,hankcs/HanLP,budzianowski/multiwoz,Maluuba/nlg-eval,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
