"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"whipper-team/whipper","https://github.com/whipper-team/whipper","whipper-team","Python","1366","False","False","4/8/2015 8:45:29 PM","5/20/2026 8:51:49 AM","Python CD-DA ripper preferring accuracy over speed","audio;cd-da-ripper;cd-ripper;cdda;cli;digital-audio;flac;linux;morituri;python;rip;terminal;unix;whipper","topic:audio language:Python stars:>=50"
"xtekky/gpt4free","https://github.com/xtekky/gpt4free","xtekky","Python","66259","False","False","3/29/2023 5:00:43 PM","5/21/2026 2:19:14 PM","The official gpt4free repository | various collection of powerful language models | opus 4.6 gpt 5.3 kimi 2.5 deepseek v3.2 gemini 3","chatbot;chatbots;chatgpt;chatgpt-4;chatgpt-api;chatgpt-free;chatgpt4;deepseek;deepseek-api;deepseek-r1;gpt;gpt-4;gpt-4o;gpt4;gpt4-api;language-model;openai;openai-api;openai-chatgpt;reverse-engineering","topic:deepseek language:Python stars:>=50"
"kingoflolz/mesh-transformer-jax","https://github.com/kingoflolz/mesh-transformer-jax","kingoflolz","Python","6370","False","False","3/13/2021 11:31:13 PM","5/21/2026 1:27:32 PM","Model parallel transformers in JAX and Haiku","","transformers language:Python stars:>=50"
"TencentARC/GFPGAN","https://github.com/TencentARC/GFPGAN","TencentARC","Python","37457","False","False","3/19/2021 6:18:20 AM","5/21/2026 7:31:47 AM","GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.","deep-learning;face-restoration;gan;gfpgan;image-restoration;pytorch;super-resolution","topic:deep-learning language:Python stars:>=50"
"MattMoony/figaro","https://github.com/MattMoony/figaro","MattMoony","Python","979","False","False","5/28/2020 10:55:49 PM","5/20/2026 9:27:32 AM","Real-time voice-changer for voice-chat, etc. Will support many different voice-filters and features in the future. 🎵","audio;cli;discord;figaro;microphone;pyaudio;python;roadmap;sound;sound-effects;soundboard;teamspeak;virtual;voice;voice-changer;voice-chat;voice-filters","topic:audio language:Python stars:>=50"
"laramies/theHarvester","https://github.com/laramies/theHarvester","laramies","Python","16277","False","False","1/1/2011 8:40:15 PM","5/21/2026 2:55:35 PM","E-mails, subdomains and names Harvester - OSINT ","blueteam;discovery;emails;information-gathering;osint;python;recon;reconnaissance;redteam;subdomain-enumeration","t language:Python stars:>=50"
"roboflow/supervision","https://github.com/roboflow/supervision","roboflow","Python","39404","False","False","11/28/2022 2:08:44 PM","5/21/2026 3:45:25 PM","We write your reusable computer vision tools. 💜","classification;coco;computer-vision;deep-learning;hacktoberfest;image-processing;instance-segmentation;low-code;machine-learning;metrics;object-detection;oriented-bounding-box;pascal-voc;python;pytorch;tensorflow;tracking;video-processing;yolo","topic:deep-learning language:Python stars:>=50"
"mudler/LocalAI","https://github.com/mudler/LocalAI","mudler","Go","46387","False","False","3/18/2023 10:58:02 PM","5/21/2026 2:42:01 PM","LocalAI is the open-source AI engine. Run any model - LLMs, vision, voice, image, video - on any hardware. No GPU required.","agents;ai;api;audio-generation;decentralized;distributed;image-generation;libp2p;llama;llm;mamba;mcp;musicgen;object-detection;rerank;stable-diffusion;text-generation;tts","topic:llm stars:>=100"
"tlecomte/friture","https://github.com/tlecomte/friture","tlecomte","Python","1094","False","False","1/7/2009 11:27:41 AM","5/17/2026 11:08:28 PM","Real-time audio visualizations (spectrum, spectrogram, etc.)","audio;audio-analysis;python;spectrogram;spectrum;spectrum-analyzer","topic:audio language:Python stars:>=50"
"Textualize/textual","https://github.com/Textualize/textual","Textualize","Python","35982","False","False","4/8/2021 3:24:47 PM","5/21/2026 2:45:25 PM","The lean application framework for Python.  Build sophisticated user interfaces with a simple Python API. Run your apps in the terminal and a web browser.","cli;framework;python;rich;terminal;tui","t language:Python stars:>=50"
"Avaiga/taipy","https://github.com/Avaiga/taipy","Avaiga","Python","19221","False","False","2/18/2022 3:55:45 PM","5/21/2026 11:01:00 AM","Turns Data and AI algorithms into production-ready web applications in no time.","automation;data-engineering;data-integration;data-ops;data-visualization;datascience;developer-tools;hacktoberfest;hacktoberfest2023;job-scheduler;mlops;orchestration;pipeline;pipelines;python;scenario;scenario-analysis;taipy-core;taipy-gui;workflow","t language:Python stars:>=50"
"clovaai/donut","https://github.com/clovaai/donut","clovaai","Python","6870","False","False","7/20/2022 1:21:19 AM","5/21/2026 9:51:33 AM","Official Implementation of OCR-free Document Understanding Transformer (Donut) and Synthetic Document Generator (SynthDoG), ECCV 2022","computer-vision;document-ai;eccv-2022;multimodal-pre-trained-model;nlp;ocr","transformers language:Python stars:>=50"
"muammar/mkchromecast","https://github.com/muammar/mkchromecast","muammar","Python","2341","False","False","3/19/2016 11:59:07 AM","5/20/2026 2:45:57 PM","Cast macOS and Linux Audio/Video to your Google Cast and Sonos Devices","alsa;audio;cast-audio;cast-videos;chromecast;chromecast-audio;debian;linux;macos;node;pychromecast;python;python3;sample-rate;sonos;sonos-speakers;soundflower;tray-menu;video","topic:audio language:Python stars:>=50"
"szczyglis-dev/py-gpt","https://github.com/szczyglis-dev/py-gpt","szczyglis-dev","Python","1790","False","False","4/9/2023 11:48:06 PM","5/21/2026 7:05:00 AM","Desktop AI Assistant powered by GPT-5, GPT-4, o1, o3, Gemini, Claude, Ollama, DeepSeek, Perplexity, Grok, Bielik, chat, vision, voice, RAG, image and video generation, agents, tools, MCP, plugins, speech synthesis and recognition, web search, memory, presets, assistants,and more. Linux, Windows, Mac","ai;ai-assistant;artificial-intelligence;autonomous-agent;chatbot;claude;deepseek;desktop-app;gemini;gpt-4;gpt-5;grok;llama-index;llm;mcp;o1;ollama;openai;perplexity;sora2","topic:deepseek language:Python stars:>=50"
"gpustack/gpustack","https://github.com/gpustack/gpustack","gpustack","Python","5035","False","False","5/11/2024 3:41:58 AM","5/21/2026 10:05:03 AM","A GPU cluster manager that configures and orchestrates inference engines like vLLM and SGLang for high-performance AI model deployment.","ascend;cuda;deepseek;distributed-inference;genai;high-performance-inference;inference;llama;llm;llm-inference;llm-serving;maas;mindie;openai;qwen;rocm;sglang;vllm","topic:deepseek language:Python stars:>=50"
"upstash/context7","https://github.com/upstash/context7","upstash","TypeScript","55798","False","False","3/26/2025 11:40:39 PM","5/21/2026 3:37:20 PM","Context7 Platform -- Up-to-date code documentation for LLMs and AI code editors","llm;mcp;mcp-server;vibe-coding","topic:llm stars:>=100"
"openai/tiktoken","https://github.com/openai/tiktoken","openai","Python","18269","False","False","12/1/2022 11:22:11 PM","5/21/2026 2:55:53 PM","tiktoken is a fast BPE tokeniser for use with OpenAI's models.","","t language:Python stars:>=50"
"riffusion/riffusion-hobby","https://github.com/riffusion/riffusion-hobby","riffusion","Python","3902","False","False","11/25/2022 9:16:13 PM","5/21/2026 3:08:23 PM","Stable diffusion for real-time music generation","ai;audio;diffusers;diffusion;music;stable-diffusion","topic:audio language:Python stars:>=50"
"OpenBMB/VoxCPM","https://github.com/OpenBMB/VoxCPM","OpenBMB","Python","19325","False","False","9/16/2025 3:41:49 AM","5/21/2026 3:46:26 PM","VoxCPM2: Tokenizer-Free TTS for Multilingual Speech Generation, Creative Voice Design, and True-to-Life Cloning","audio;deeplearning;minicpm;multilingual;python;pytorch;speech;speech-synthesis;text-to-speech;tts;tts-model;voice-cloning;voice-design;voxcpm","topic:audio language:Python stars:>=50"
"speechbrain/speechbrain","https://github.com/speechbrain/speechbrain","speechbrain","Python","11554","False","False","4/28/2020 5:48:45 PM","5/21/2026 3:12:43 AM","A PyTorch-based Speech Toolkit","asr;audio;audio-processing;deep-learning;huggingface;language-model;pytorch;speaker-diarization;speaker-recognition;speaker-verification;speech-enhancement;speech-processing;speech-recognition;speech-separation;speech-to-text;speech-toolkit;speechrecognition;spoken-language-understanding;transformers;voice-recognition","topic:audio language:Python stars:>=50 | transformers language:Python stars:>=50"
"pytorch/audio","https://github.com/pytorch/audio","pytorch","Python","2879","False","False","5/5/2017 12:38:05 AM","5/21/2026 12:21:56 PM","Data manipulation and transformation for audio signal processing, powered by PyTorch","audio;audio-processing;io;machine-learning;python;pytorch;speech","topic:audio language:Python stars:>=50"
"TauricResearch/TradingAgents","https://github.com/TauricResearch/TradingAgents","TauricResearch","Python","78151","False","False","12/28/2024 3:31:08 AM","5/21/2026 3:46:26 PM","TradingAgents: Multi-Agents LLM Financial Trading Framework","agent;finance;llm;multiagent;trading","t language:Python stars:>=50 | topic:llm stars:>=100"
