AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Good,0,0,0,30,10,220,0.0,abdulfatir/twitter-sentiment-analysis,GabrielDornelles/pytorch-ocr,frgfm/torch-cam,open-mmlab/mmocr,filipradenovic/cnnimageretrieval-pytorch,abdulfatir/twitter-sentiment-analysis | GabrielDornelles/pytorch-ocr | frgfm/torch-cam | open-mmlab/mmocr | filipradenovic/cnnimageretrieval-pytorch
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,Good,0,1,3,24,10,210,201.75,kornia/kornia,stanfordnlp/stanza,unit8co/darts,google-deepmind/sonnet,lucidrains/denoising-diffusion-pytorch,kornia/kornia | stanfordnlp/stanza | unit8co/darts | google-deepmind/sonnet | lucidrains/denoising-diffusion-pytorch
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Good,0,0,0,11,10,230,0.0,ValueCell-ai/valuecell,brokermr810/QuantDinger,quantsbin/Quantsbin,Michalos88/Quant-Projects,binance/binance-skills-hub,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | binance/binance-skills-hub
apache/airflow,apache-airflow,Good,0,0,0,9,10,185,54.19,feast-dev/feast,dagster-io/dagster,abhishek-ch/around-dataengineering,san089/goodreads_etl_pipeline,elyra-ai/elyra,feast-dev/feast | dagster-io/dagster | abhishek-ch/around-dataengineering | san089/goodreads_etl_pipeline | elyra-ai/elyra
bbfamily/abu,bbfamily-abu,Good,0,0,0,11,10,178,18.06,zvtvz/zvt,shashankvemuri/Finance,ranaroussi/quantstats,coding-kitties/investing-algorithm-framework,asavinov/intelligent-trading-bot,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | coding-kitties/investing-algorithm-framework | asavinov/intelligent-trading-bot
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,Good,0,0,0,10,10,157,0.0,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,qualcomm/aimet,tensorflow/compression,tensorflow/model-optimization,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | qualcomm/aimet | tensorflow/compression | tensorflow/model-optimization
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,Good,0,0,2,11,10,186,64.75,mdbloice/Augmentor,aleju/imgaug,aladdinpersson/Machine-Learning-Collection,tflearn/tflearn,annoviko/pyclustering,mdbloice/Augmentor | aleju/imgaug | aladdinpersson/Machine-Learning-Collection | tflearn/tflearn | annoviko/pyclustering
explosion/spaCy,explosion-spacy,Good,0,0,0,11,10,182,18.06,huggingface/autotrain-advanced,catalyst-team/catalyst,NTMC-Community/MatchZoo,flairNLP/flair,huggingface/huggingface_hub,huggingface/autotrain-advanced | catalyst-team/catalyst | NTMC-Community/MatchZoo | flairNLP/flair | huggingface/huggingface_hub
gradio-app/gradio,gradio-app-gradio,Good,0,0,2,18,10,277,100.88,rio-labs/rio,writer/writer-framework,probabl-ai/skore,scikit-learn-contrib/imbalanced-learn,fbdesignpro/sweetviz,rio-labs/rio | writer/writer-framework | probabl-ai/skore | scikit-learn-contrib/imbalanced-learn | fbdesignpro/sweetviz
huggingface/datasets,huggingface-datasets,Good,0,0,0,11,10,211,36.12,Lightning-AI/litgpt,katanaml/sparrow,yanshengjia/ml-road,jacobgil/pytorch-grad-cam,IBM/unitxt,Lightning-AI/litgpt | katanaml/sparrow | yanshengjia/ml-road | jacobgil/pytorch-grad-cam | IBM/unitxt
huggingface/transformers,huggingface-transformers,Good,0,0,0,18,10,225,0.0,GradientHQ/parallax,hiyouga/EasyR1,speechbrain/speechbrain,Tencent/AngelSlim,OpenBMB/UltraRAG,GradientHQ/parallax | hiyouga/EasyR1 | speechbrain/speechbrain | Tencent/AngelSlim | OpenBMB/UltraRAG
jina-ai/serve,jina-ai-serve,Good,0,0,0,4,10,192,75.32,bentoml/BentoML,Netflix/metaflow,hongbo-miao/hongbomiao.com,DaoCloud/DaoCloud-docs,PrefectHQ/fastmcp,bentoml/BentoML | Netflix/metaflow | hongbo-miao/hongbomiao.com | DaoCloud/DaoCloud-docs | PrefectHQ/fastmcp
onnx/onnx,onnx-onnx,Good,0,0,0,30,10,202,28.63,fastmachinelearning/hls4ml,ufoym/deepo,OpenPPL/ppq,jina-ai/clip-as-service,google-deepmind/sonnet,fastmachinelearning/hls4ml | ufoym/deepo | OpenPPL/ppq | jina-ai/clip-as-service | google-deepmind/sonnet
pytorch/pytorch,pytorch-pytorch,Good,0,0,0,28,10,193,0.0,chainer/chainer,norse/norse,pranftw/neograd,leptonai/leptonai,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | pranftw/neograd | leptonai/leptonai | oreilly-japan/deep-learning-from-scratch-3
ray-project/ray,ray-project-ray,Good,0,0,0,6,10,233,18.06,torchpipe/torchpipe,ELS-RD/transformer-deploy,curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,run-llama/llama_deploy,NVIDIA/TensorRT-LLM,torchpipe/torchpipe | ELS-RD/transformer-deploy | curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI | run-llama/llama_deploy | NVIDIA/TensorRT-LLM
recommenders-team/recommenders,recommenders-team-recommenders,Good,0,0,1,27,9,301,0.0,jfkirk/tensorrec,wzhe06/Reco-papers,ylongqi/openrec,maciejkula/spotlight,RUCAIBox/RecBole,jfkirk/tensorrec | wzhe06/Reco-papers | ylongqi/openrec | maciejkula/spotlight | RUCAIBox/RecBole
sebastianruder/NLP-progress,sebastianruder-NLP-progress,Good,0,0,0,19,10,226,36.12,jasonwu0731/trade-dst,budzianowski/multiwoz,nltk/nltk,Maluuba/nlg-eval,hankcs/HanLP,jasonwu0731/trade-dst | budzianowski/multiwoz | nltk/nltk | Maluuba/nlg-eval | hankcs/HanLP
serengil/deepface,serengil-deepface,Good,0,0,0,11,10,161,18.06,RangiLyu/nanodet,Lasagne/Lasagne,deepinsight/insightface,wujiyang/Face_Pytorch,Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,RangiLyu/nanodet | Lasagne/Lasagne | deepinsight/insightface | wujiyang/Face_Pytorch | Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB
streamlit/streamlit,streamlit-streamlit,Good,0,1,2,30,10,236,100.88,rio-labs/rio,probabl-ai/skore,scikit-learn-contrib/imbalanced-learn,python-visualization/folium,ndleah/python-mini-project,rio-labs/rio | probabl-ai/skore | scikit-learn-contrib/imbalanced-learn | python-visualization/folium | ndleah/python-mini-project
ultralytics/yolov5,ultralytics-yolov5,Good,0,0,0,26,10,206,0.0,Megvii-BaseDetection/YOLOX,tinyvision/DAMO-YOLO,ayooshkathuria/pytorch-yolo-v3,open-mmlab/mmyolo,PeterH0323/Smart_Construction,Megvii-BaseDetection/YOLOX | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo | PeterH0323/Smart_Construction
