AnchorRepo,_anchor_folder,Rank,CandidateRepo,IsMagnet,Score,Qualified,PenaltyCrossAnchorFreq,FrequencyInFinal30AcrossAnchors,Description
JaidedAI/EasyOCR,JaidedAI-EasyOCR,1,Lightning-AI/pytorch-lightning,True,935.26,True,37.66,12,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,2,keras-team/keras,True,898.07,True,36.91,12,Deep Learning for humans
JaidedAI/EasyOCR,JaidedAI-EasyOCR,3,roboflow/supervision,True,881.65,True,37.66,11,We write your reusable computer vision tools. 💜
JaidedAI/EasyOCR,JaidedAI-EasyOCR,4,eriklindernoren/ML-From-Scratch,True,878.46,True,36.12,11,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learnin
JaidedAI/EasyOCR,JaidedAI-EasyOCR,5,Hironsan/BossSensor,False,866.02,True,9.03,1,Hide screen when boss is approaching.
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,1,keras-team/keras,True,1160.68,True,36.91,12,Deep Learning for humans
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,2,stanfordnlp/stanza,False,1074,True,23.34,5,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,3,unit8co/darts,False,1066.04,True,23.34,5,A python library for user-friendly forecasting and anomaly detection on time series.
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,4,kornia/kornia,False,1061.35,True,20.97,4,🐍 Geometric Computer Vision Library for Spatial AI
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,5,streamlit/streamlit,True,1051.68,True,36.91,12,Streamlit — A faster way to build and share data apps.
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,1,ValueCell-ai/valuecell,False,1029.77,True,,1,"ValueCell is a community-driven, multi-agent platform for financial applications."
