"FullName","Url","Owner","Language","Stars","Fork","Archived","CreatedAt","UpdatedAt","Description","Topics","SourceQueries"
"recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","recommenders-team","Python","21712","False","False","9/19/2018 10:06:07 AM","5/21/2026 3:29:46 PM","Best Practices on Recommendation Systems","ai;artificial-intelligence;data-science;deep-learning;jupyter-notebook;kubernetes;machine-learning;operationalization;python;ranking;rating;recommendation;recommendation-algorithm;recommendation-engine;recommendation-system;recommender;tutorial","topic:machine-learning language:Python stars:>=50 | topic:data-science stars:>=100"
"Isaacdelly/Plutus","https://github.com/Isaacdelly/Plutus","Isaacdelly","Python","1399","False","False","12/6/2017 12:05:56 AM","5/21/2026 2:11:24 PM","An automated bitcoin wallet brute-forcer","address;bitcoin;brute;brute-force;brute-force-attacks;bruteforce;bruteforce-attacks;bruteforcing;btc;collider;crack;cracker;cracking;multiprocessing;plutus;python;stealer;stealing;wallet;wallet-address","topic:bitcoin language:Python stars:>=50"
"safishamsi/graphify","https://github.com/safishamsi/graphify","safishamsi","Python","50676","False","False","4/3/2026 3:49:07 PM","5/21/2026 7:53:49 PM","AI coding assistant skill (Claude Code, Codex, OpenCode, Cursor, Gemini CLI, and more). Turn any folder of code, SQL schemas, R scripts, shell scripts, docs, papers, images, or videos into a queryable knowledge graph. App code + database schema + infrastructure in one graph.","antigravity;claude-code;codex;gemini;graphrag;knowledge-graph;leiden;openclaw;rag;skills;tree-sitter","a language:Python stars:>=50"
"crewAIInc/crewAI","https://github.com/crewAIInc/crewAI","crewAIInc","Python","51895","False","False","10/27/2023 3:26:59 AM","5/21/2026 7:41:49 PM","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","agents;ai;ai-agents;aiagentframework;llms","a language:Python stars:>=50"
"vllm-project/vllm","https://github.com/vllm-project/vllm","vllm-project","Python","80663","False","False","2/9/2023 11:23:20 AM","5/21/2026 7:52:04 PM","A high-throughput and memory-efficient inference and serving engine for LLMs","amd;blackwell;cuda;deepseek;deepseek-v3;gpt;gpt-oss;inference;kimi;llama;llm;llm-serving;model-serving;moe;openai;pytorch;qwen;qwen3;tpu;transformer","a language:Python stars:>=50"
"virgili0/Virgilio","https://github.com/virgili0/Virgilio","virgili0","Jupyter Notebook","14337","False","False","3/12/2019 6:45:36 PM","5/19/2026 3:04:20 AM","Your new Mentor for Data Science E-Learning.","business-intelligence;computer-vision;data-science;datascience;guide;guidelines;hacktoberfest;learning;learning-python;machine-learning;machine-vision;nlp;path;python;scikit-learn;statistics;study;studypath;tensorflow;virgilio","topic:data-science stars:>=100"
"PrefectHQ/prefect","https://github.com/PrefectHQ/prefect","PrefectHQ","Python","22439","False","False","6/29/2018 9:59:26 PM","5/21/2026 2:52:47 PM","Prefect is a workflow orchestration framework for building resilient data pipelines in Python.","automation;data;data-engineering;data-ops;data-science;infrastructure;ml-ops;observability;orchestration;pipeline;prefect;python;workflow;workflow-engine","topic:data-science stars:>=100"
"D4Vinci/Scrapling","https://github.com/D4Vinci/Scrapling","D4Vinci","Python","52558","False","False","10/13/2024 8:29:53 PM","5/21/2026 7:57:27 PM","🕷️ An adaptive Web Scraping framework that handles everything from a single request to a full-scale crawl!","ai;ai-scraping;automation;crawler;crawling;crawling-python;data;data-extraction;mcp;mcp-server;playwright;python;scraping;selectors;stealth;web-scraper;web-scraping;web-scraping-python;webscraping;xpath","a language:Python stars:>=50"
"streamlit/streamlit","https://github.com/streamlit/streamlit","streamlit","Python","44670","False","False","8/24/2019 12:14:52 AM","5/21/2026 7:34:24 PM","Streamlit — A faster way to build and share data apps.","data-analysis;data-science;data-visualization;deep-learning;developer-tools;machine-learning;python;streamlit","topic:machine-learning language:Python stars:>=50 | a language:Python stars:>=50 | topic:data-science stars:>=100"
"minimaxir/big-list-of-naughty-strings","https://github.com/minimaxir/big-list-of-naughty-strings","minimaxir","Python","47636","False","False","8/8/2015 8:57:20 PM","5/21/2026 9:13:45 AM","The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.","","a language:Python stars:>=50"
