AnchorRepo,_anchor_folder,Rank,CandidateRepo,IsMagnet,Score,Qualified,PenaltyCrossAnchorFreq,FrequencyInFinal30AcrossAnchors,Description
JaidedAI/EasyOCR,JaidedAI-EasyOCR,1,abdulfatir/twitter-sentiment-analysis,False,854.77,True,0,1,"Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,2,GabrielDornelles/pytorch-ocr,False,825,True,0,1,"Simple Pytorch framework to train OCRs. Supports CRNNs, Attention, CTC and Cross Entropy Loss."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,3,frgfm/torch-cam,False,822.06,True,0,1,"Class activation maps for your PyTorch models (CAM, Grad-CAM, Grad-CAM++, Smooth Grad-CAM++, Score-CAM, SS-CAM, IS-CAM, XGrad-CAM, Layer-CAM)"
JaidedAI/EasyOCR,JaidedAI-EasyOCR,4,open-mmlab/mmocr,False,821.57,True,0,1,"OpenMMLab Text Detection, Recognition and Understanding Toolbox"
JaidedAI/EasyOCR,JaidedAI-EasyOCR,5,filipradenovic/cnnimageretrieval-pytorch,False,820.47,True,0,1,CNN Image Retrieval in PyTorch: Training and evaluating CNNs for Image Retrieval in PyTorch
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,1,kornia/kornia,False,901.7,True,180.62,2,🐍 Geometric Computer Vision Library for Spatial AI
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,2,stanfordnlp/stanza,False,863.94,True,233.45,2,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,3,unit8co/darts,False,855.99,True,233.45,2,A python library for user-friendly forecasting and anomaly detection on time series.
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,4,google-deepmind/sonnet,False,850.88,True,180.62,2,TensorFlow-based neural network library
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,5,lucidrains/denoising-diffusion-pytorch,False,839.97,True,180.62,2,Implementation of Denoising Diffusion Probabilistic Model in Pytorch
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,1,ValueCell-ai/valuecell,False,929.75,True,0,1,"ValueCell is a community-driven, multi-agent platform for financial applications."
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,2,brokermr810/QuantDinger,False,847.13,True,0,1,"AI quantitative trading platform for crypto, stocks, and forex with backtesting, live trading, market data, and multi-agent research.vibe-trading ,trading-agents,ai-trader,ai-trading"
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,3,quantsbin/Quantsbin,False,825,True,0,1,Quantitative Finance tools
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,4,Michalos88/Quant-Projects,False,768.75,True,0,1,Implementations of Leading Algorithms in Quantitative Finance 
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,5,binance/binance-skills-hub,False,728.8,True,0,1,Binance Skills Hub is an open skills marketplace that gives AI agents native access to crypto
apache/airflow,apache-airflow,1,feast-dev/feast,False,884.12,True,0,1,The Open Source Feature Store for AI/ML
apache/airflow,apache-airflow,2,dagster-io/dagster,False,875.81,True,270.93,1,"An orchestration platform for the development, production, and observation of data assets."
apache/airflow,apache-airflow,3,abhishek-ch/around-dataengineering,False,785.07,True,0,1,A Data Engineering & Machine Learning Knowledge Hub
apache/airflow,apache-airflow,4,san089/goodreads_etl_pipeline,False,774.15,True,0,1,"An end-to-end GoodReads Data Pipeline for Building Data Lake, Data Warehouse and Analytics Platform."
apache/airflow,apache-airflow,5,elyra-ai/elyra,False,756.14,True,0,1,Elyra extends JupyterLab with an AI centric approach.
bbfamily/abu,bbfamily-abu,1,zvtvz/zvt,False,908.27,True,0,1,modular quant framework.
bbfamily/abu,bbfamily-abu,2,shashankvemuri/Finance,False,907.85,True,0,1,"150+ quantitative finance Python programs to help you gather, manipulate, and analyze stock market data"
bbfamily/abu,bbfamily-abu,3,ranaroussi/quantstats,False,883.7,True,0,1,"Portfolio analytics for quants, written in Python"
bbfamily/abu,bbfamily-abu,4,coding-kitties/investing-algorithm-framework,False,846.05,True,0,1,"Framework for developing, backtesting, and deploying automated trading algorithms and trading bots."
bbfamily/abu,bbfamily-abu,5,asavinov/intelligent-trading-bot,False,808.41,True,90.31,1,Intelligent Trading Bot: Automatically generating signals and trading based on machine learning and feature engineering
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,1,InterDigitalInc/CompressAI,False,875.13,True,0,1,A PyTorch library and evaluation platform for end-to-end compression research
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,2,alibaba/EasyParallelLibrary,False,875,True,0,1,Easy Parallel Library (EPL) is a general and efficient deep learning framework for distributed model training.
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,3,qualcomm/aimet,False,797.88,True,0,1,AIMET is a library that provides advanced quantization and compression techniques for trained neural network models.
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,4,tensorflow/compression,False,771.5,True,0,1,Data compression in TensorFlow
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,5,tensorflow/model-optimization,False,762.3,True,0,1,"A toolkit to optimize ML models for deployment for Keras and TensorFlow, including quantization and pruning."
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,1,mdbloice/Augmentor,False,906.05,True,0,1,Image augmentation library in Python for machine learning.
