AnchorRepo,_anchor_folder,Rank,CandidateRepo,IsMagnet,Score,Qualified,PenaltyCrossAnchorFreq,FrequencyInFinal30AcrossAnchors,Description
JaidedAI/EasyOCR,JaidedAI-EasyOCR,1,abdulfatir/twitter-sentiment-analysis,False,854.79,True,0,1,"Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,2,GabrielDornelles/pytorch-ocr,False,825,True,0,1,"Simple Pytorch framework to train OCRs. Supports CRNNs, Attention, CTC and Cross Entropy Loss."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,3,Hironsan/BossSensor,False,822.35,True,52.68,1,Hide screen when boss is approaching.
JaidedAI/EasyOCR,JaidedAI-EasyOCR,4,frgfm/torch-cam,False,822.1,True,0,1,"Class activation maps for your PyTorch models (CAM, Grad-CAM, Grad-CAM++, Smooth Grad-CAM++, Score-CAM, SS-CAM, IS-CAM, XGrad-CAM, Layer-CAM)"
JaidedAI/EasyOCR,JaidedAI-EasyOCR,5,open-mmlab/mmocr,False,821.6,True,0,1,"OpenMMLab Text Detection, Recognition and Understanding Toolbox"
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,1,keras-team/keras,True,982.26,True,215.33,10,Deep Learning for humans
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,2,stanfordnlp/stanza,False,961.21,True,136.18,4,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,3,kornia/kornia,False,960.01,True,122.32,4,🐍 Geometric Computer Vision Library for Spatial AI
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,4,unit8co/darts,False,953.25,True,136.18,5,A python library for user-friendly forecasting and anomaly detection on time series.
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,5,google-deepmind/sonnet,False,909.18,True,122.32,4,TensorFlow-based neural network library
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,1,ValueCell-ai/valuecell,False,929.75,True,0,1,"ValueCell is a community-driven, multi-agent platform for financial applications."
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,2,brokermr810/QuantDinger,False,846.01,True,0,1,"AI quantitative trading platform for crypto, stocks, and forex with backtesting, live trading, market data, and multi-agent research.vibe-trading ,trading-agents,ai-trader,ai-trading"
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,3,quantsbin/Quantsbin,False,825,True,0,1,Quantitative Finance tools
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,4,Michalos88/Quant-Projects,False,768.75,True,0,1,Implementations of Leading Algorithms in Quantitative Finance 
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,5,binance/binance-skills-hub,False,728.77,True,0,1,Binance Skills Hub is an open skills marketplace that gives AI agents native access to crypto
apache/airflow,apache-airflow,1,dagster-io/dagster,False,988.68,True,158.04,1,"An orchestration platform for the development, production, and observation of data assets."
apache/airflow,apache-airflow,2,feast-dev/feast,False,884.13,True,0,1,The Open Source Feature Store for AI/ML
apache/airflow,apache-airflow,3,Avaiga/taipy,False,827.79,True,105.36,1,Turns Data and AI algorithms into production-ready web applications in no time.
apache/airflow,apache-airflow,4,abhishek-ch/around-dataengineering,False,785.09,True,0,1,A Data Engineering & Machine Learning Knowledge Hub
apache/airflow,apache-airflow,5,san089/goodreads_etl_pipeline,False,774.17,True,0,1,"An end-to-end GoodReads Data Pipeline for Building Data Lake, Data Warehouse and Analytics Platform."
bbfamily/abu,bbfamily-abu,1,zvtvz/zvt,False,908.31,True,0,1,modular quant framework.
bbfamily/abu,bbfamily-abu,2,shashankvemuri/Finance,False,907.83,True,0,1,"150+ quantitative finance Python programs to help you gather, manipulate, and analyze stock market data"
bbfamily/abu,bbfamily-abu,3,ranaroussi/quantstats,False,883.72,True,0,1,"Portfolio analytics for quants, written in Python"
bbfamily/abu,bbfamily-abu,4,asavinov/intelligent-trading-bot,False,846.03,True,52.68,1,Intelligent Trading Bot: Automatically generating signals and trading based on machine learning and feature engineering
bbfamily/abu,bbfamily-abu,5,coding-kitties/investing-algorithm-framework,False,845.92,True,0,1,"Framework for developing, backtesting, and deploying automated trading algorithms and trading bots."
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,1,InterDigitalInc/CompressAI,False,875.11,True,0,1,A PyTorch library and evaluation platform for end-to-end compression research
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,2,alibaba/EasyParallelLibrary,False,875,True,0,1,Easy Parallel Library (EPL) is a general and efficient deep learning framework for distributed model training.
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,3,qualcomm/aimet,False,797.83,True,0,1,AIMET is a library that provides advanced quantization and compression techniques for trained neural network models.
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,4,hpcaitech/ColossalAI,False,783.77,True,215.33,2,"Making large AI models cheaper, faster and more accessible"
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,5,tensorflow/compression,False,771.51,True,0,1,Data compression in TensorFlow
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,1,mdbloice/Augmentor,False,906.07,True,0,1,Image augmentation library in Python for machine learning.
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,2,tflearn/tflearn,False,863.57,True,136.18,5,Deep learning library featuring a higher-level API for TensorFlow.
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,3,aleju/imgaug,False,840.85,True,0,1,Image augmentation for machine learning experiments.
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,4,unit8co/darts,False,838.26,True,136.18,5,A python library for user-friendly forecasting and anomaly detection on time series.
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,5,Lightning-AI/pytorch-lightning,True,800.34,True,219.67,10,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
explosion/spaCy,explosion-spacy,1,stanfordnlp/stanza,False,898.33,True,136.18,4,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
explosion/spaCy,explosion-spacy,2,Lightning-AI/pytorch-lightning,True,852.44,True,219.67,10,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
explosion/spaCy,explosion-spacy,3,kornia/kornia,False,806.62,True,122.32,4,🐍 Geometric Computer Vision Library for Spatial AI
explosion/spaCy,explosion-spacy,4,google-deepmind/sonnet,False,806.3,True,122.32,4,TensorFlow-based neural network library
explosion/spaCy,explosion-spacy,5,keras-team/keras,True,760.14,True,215.33,10,Deep Learning for humans
gradio-app/gradio,gradio-app-gradio,1,streamlit/streamlit,True,895.41,True,215.33,8,Streamlit — A faster way to build and share data apps.
gradio-app/gradio,gradio-app-gradio,2,unit8co/darts,False,793.06,True,136.18,5,A python library for user-friendly forecasting and anomaly detection on time series.
gradio-app/gradio,gradio-app-gradio,3,NannyML/nannyml,False,788.57,True,52.68,2,nannyml: post-deployment data science in python
gradio-app/gradio,gradio-app-gradio,4,1adrianb/face-alignment,False,756.33,True,52.68,1,:fire: 2D and 3D Face alignment library build using pytorch 
gradio-app/gradio,gradio-app-gradio,5,Lightning-AI/pytorch-lightning,True,755.14,True,219.67,10,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
huggingface/datasets,huggingface-datasets,1,Lightning-AI/litgpt,False,841.04,True,105.36,1,"20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale."
