CandidateRepo,IsMagnet,penalty100_min700_cap21_Final30Freq,penalty110_min700_cap11_Final30Freq,penalty110_min700_cap12_Final30Freq,penalty110_min700_cap21_Final30Freq,penalty110_min700_cap22_Final30Freq,penalty150_min600_cap22_Final30Freq,penalty150_min700_cap22_Final30Freq,penalty175_min600_cap22_Final30Freq,penalty175_min700_cap22_Final30Freq,penalty200_min600_cap22_Final30Freq,penalty200_min700_cap22_Final30Freq,penalty250_min650_cap22_Final30Freq,penalty250_min700_cap22_Final30Freq,penalty275_min700_cap22_Final30Freq,penalty300_min700_cap22_Final30Freq,penalty30_min700_cap21_Final30Freq,penalty55_min700_cap11_Final30Freq,penalty55_min700_cap21_Final30Freq,penalty55_min700_cap21_nofallback_Final30Freq,penalty55_min750_cap21_Final30Freq,penalty75_min700_cap21_Final30Freq
Lightning-AI/pytorch-lightning,True,11,11,11,11,11,11,11,10,10,8,8,8,8,7,7,12,12,12,11,12,10
d2l-ai/d2l-zh,True,9,9,9,9,9,7,7,5,5,4,4,3,3,3,2,11,10,10,10,10,8
deepspeedai/DeepSpeed,True,5,5,5,5,5,3,3,3,3,2,2,0,0,0,0,10,10,10,10,10,7
eriklindernoren/ML-From-Scratch,True,9,9,9,9,9,7,7,7,7,7,7,5,5,4,4,11,10,10,10,10,8
explosion/spaCy,True,9,8,8,8,8,6,6,6,6,5,5,5,5,4,3,11,10,10,10,10,8
gradio-app/gradio,True,8,8,8,8,8,7,7,5,5,4,4,4,4,3,2,9,9,9,9,9,6
huggingface/transformers,True,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keras-team/keras,True,12,12,12,12,12,12,12,10,10,9,9,8,8,8,8,12,12,12,12,12,10
microsoft/qlib,True,6,4,4,4,4,3,3,2,2,2,2,0,0,0,0,9,7,7,7,7,4
pytorch/pytorch,True,9,9,9,9,9,6,5,6,5,6,6,5,5,4,3,11,10,10,10,10,9
ray-project/ray,True,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,4,3,3,3,3,2
recommenders-team/recommenders,True,7,7,7,7,7,7,7,7,7,6,6,5,5,5,3,7,7,7,7,7,4
roboflow/supervision,True,9,9,9,9,9,5,5,5,5,3,3,1,1,0,0,11,10,10,10,10,8
scikit-learn/scikit-learn,True,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2
streamlit/streamlit,True,10,9,9,9,8,8,8,8,8,8,7,5,5,5,5,12,12,12,11,12,11
